#key	synopsis
5 in One FunPak (USA)	Pack de 5 jeux : Backgammon, Dames, Reversi, Échec, yahtzee
Castle of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En)	Castle of Illusion starring Mickey Mouse sur Game Gear est un jeu de plates-formes où vous devez sauver Minnie des griffes de la sorcière Mizrabel. Incarnez Mickey dans cette aventure où chacune des portes du château renferme bien des surprises.
Cave Dude (USA) (Proto)	Cave Dude est un prototype tiré d'un jeu Master System. Sortie à Taiwan sous le nom de du jeu Toto World 3 il est aussi connu pour faire partie de la compilation australiene 4 Pak All Action compilation.
Chakan (USA, Europe)	Dans la nuit la plus profonde, il existe un aventurier en quête d'aventure et de combats. Il est tellement puissant qu'il arrive à terrasser tous ses adversaires. Mais comme son ambition est de devenir le plus fort il ose défier La Mort et se bat contre celle-ci. Après un rude combat, il réussit l'irréalisable et il terrassa la mort elle-même. Avant de mourir elle entraîna l'aventurier dans son monde qui n'est autre qu'un monde perdu dans un univers cauchemardesque. Pour le punir de son acte, Il reçoit la vie éternelle mais il doit respecter le temps qui lui est imparti pour s'échapper des donjons qu'il devra traverser car sinon il mourra et ressuscitera car la mort veux le faire souffrir a jamais. Chakan arrivera-t-il a déjouer les pièges et mettre en défaite les gardiens des donjons de La Mort ? Ou devra-t-il vivre pour l'éternité et souffrir a jamais ?
Championship Hockey (Europe)	Participez à un match de hockey hyper réaliste et bourré d'action passionnante avec Championship Hockey: tactiques de patinage sophistiquées, charges corporelles musclées et tirs frappés extrêmement puissants. Vous devrez patiner rapidement pour éviter les charges corporelles des défenseurs et prendre de vitesse les gardiens de but afin de remporter la Coupe.
Chase H.Q. (USA)	Dans Chase H.Q. sur Game Gear, vous incarnez un agent secret qui arpente les routes pour retrouver des fugitifs. Le profil du suspect est défini en amont de chaque mission et la tâche qui vous incombe est de le dénicher parmi la population civile. Pour l'appréhender, percutez son véhicule de manière à lui faire perdre le contrôle, en respectant le temps imparti.
Cheese Cat-Astrophe Starring Speedy Gonzales (USA, Europe, Brazil) (En,Fr,De,Es)	Cheese Cat-Astrophe starring Speedy Gonzales sur Game Gear, propose au joueur d'incarner la souris la plus rapide du Mexique dans un jeu de plates-formes. Grâce à l'aide d'autres personnages issus de l'univers Looney Tunes, vous devez retrouver Carmel, la fiancée de Speedy, enlevée par l'infâme docteur Cheesefinger.
Chessmaster, The (USA, Europe, Brazil) (En)	The Chessmaster sur Game Gear vous permet de faire des parties d'échecs contre l'intelligence artificielle de la cartouche. Seize niveaux de difficulté, dont deux pour débuter tranquillement, sont proposés. Un mode initiation vous donnera aussi l'occasion d'apprendre les règles de l'un des plus vieux jeux jamais créé.
Chicago Syndicate (USA, Brazil) (En)	Interprétez Larcen Tyler un ancien gangster de Chicago dans les années 20 qui tente de survivre à son ancien boss en étant dans une cellule anti-mafieuse.
Choplifter III (USA)	Troisième du nom dans la série, Choplifter III sur Game Gear vous confie la lourde tâche de piloter votre hélicoptère à travers le feu ennemi, pour secourir un nombre déterminé de camarades en mauvaise posture sur le champ de bataille. Bien évidemment, il s'agit de ramener l'hélicoptère rempli de vos précieux passagers jusqu'à la base en un seul morceau.
Chuck Rock (World)	Chuck Rock sur Game Gear est un jeu de plates-formes. Le joueur dirige un homme préhistorique prénommé Chuck, à la recherche de sa femme faite prisonnière par Garry Gritter. Pour se défendre, le héros peut donner des coups de ventre ou jeter des pierres sur ses ennemis. Il peut également leur monter dessus pour atteindre des zones inaccessibles.
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck sur Game Gear est un jeu de plates-formes préhistorique. Chuck Rock, qui tient une usine d'automobiles, a été enlevé par l'un de ses rivaux. En incarnant Junior, le rejeton, le joueur doit traverser les niveaux pour retrouver Chuck. Armé d'un gourdin pour se défendre face aux dinosaures, Junior peut chevaucher certains animaux pour atteindre des zones inaccessibles.
CJ Elephant Fugitive (USA, Europe)	Ce titre obscur est l'une des deux suites de CJ's Elephant Antics, un jeu de plateformes édité par Codemasters sur Commodore 64 en 1991 ! Le titre n'a été adapté que sur les micro-ordinateurs de l'époque, une version NES existant sur une compilation non officielle. Ainsi, cette suite parue uniquement sur la portable de Sega en fait d'emblée une pièce de musée...
Cliffhanger (USA)	Voici l'adaptation du film du même nom où vous contrôlez un Silverster Stallone en 8 bits sur console GameGear. Vous devez sauter de roche en roche en éliminant les ennemis pour arriver à bout des niveaux.
Clutch Hitter (USA)	Clutch Hitter sur Game Gear est l'adaptation arcade du jeu de base-ball du même nom. Toutes les équipes de la Major League de 1991 y sont présentes, en revanche les noms des joueurs ne figurent pas. Il est possible de jouer contre un ami en connectant deux Game Gear.
Columns (USA, Europe, Brazil) (En)	Columns sur Game Gear est un puzzle-game dans lequel votre tâche consiste à disposer des blocs de sorte à les faire disparaître. Les blocs disparaissent lorsque trois éléments de couleur identique, au minimum, sont en contact, ceci de manière horizontale, verticale ou diagonale, cette dernière méthode rapportant le plus de points.
Cool Spot (USA)	Fonce, tire et franchis les obstacles dans cette aventure hilarante et effrénée sans perdre ton sang-froid… ni tes lunettes de soleil ! Dans la peau de COOL SPOT, tu ne reculeras devant rien pour sauver tes potes SPOT lorsqu'ils se feront enlever par des forces pas cool ! Tire sur la vague, déchaîne-toi sur un train fou et fonce à toute allure dans des montagnes russes à couper le souffle pour mettre tes ennemis K.O. ! 11 niveaux hilarants et 6 rounds bonus où tu devras éclater des bulles ! Des obstacles qui te sautent au visage, des manœuvres délicates et une portée de tir Cool Shot à 360 degrés ! Des graphismes tellement chauds que tu auras besoin de tes propres lunettes de soleil !
Cosmic Spacehead (USA, Europe)	Cosmic Spacehead est un jeu de plates-formes/aventure sur Game Gear. Vous incarnez Linus, un extraterrestre qui s'est écrasé sur la planète Terre. En rentrant chez lui personne ne le croit, il faut donc l'aider à retourner sur Terre pour ramener des preuves. Explorez les différents niveaux pour ramasser des objets et parler à des gens. Peut-être qu'après ça, les gens arrêteront de vous traiter de menteur !
Crayon Shin-chan - Taiketsu! Kantam Panic!! (Japan)	Basé sur le dessin animé japonais Crayon Shin-chan, ce jeu n'existe qu'en import
