#key	name	year	genre	developer	players
Secret of Monkey Island, The (USA) (RE)	The Secret of Monkey Island	1993	Adventure / Point and Click/Adventure	LucasArts	1
Sega Classic Arcade Collection - Limited Edition (Japan)	Sega Classics Arcade Collection (4-in-1)	1992	Compilation	SEGA	1-2
Sega Classics Arcade Collection (USA) (5-in-1)	Sega Classics Arcade Collection (5-in-1)	1993	Compilation	SEGA	1-2
Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A)	Sega Classics Arcade Collection (5-in-1)	1993	Compilation	SEGA	1-2
Seima Densetsu 3x3 Eyes (Japan, Korea)	Seima Densetsu 3x3 Eyes	1993	Role Playing Game	SEGA	1
Seirei Shinseiki - Fhey Area (Japan)	Seirei Shinseiki Fhey Area	1992	Role Playing Game	Wolf Team	1
Sengoku Denshou (Japan)	Sengoku Denshou	1993	Beat'em Up	SNK	1
Sensible Soccer (Europe) (En,Fr,De,It)	Championship Soccer '94	1994	Sports / Football (Soccer)/Sports	Psygnosis	1-2
Sewer Shark (USA)	Sewer Shark	1992	Lightgun Shooter	Digital Pictures	1
Shadow of the Beast II (USA)	Shadow of the Beast II	1994	Adventure	Reflections Interactive	1
Shadow of the Beast II - Juushin no Jubaku (Japan)	Shadow of the Beast II	1994	Adventure	Reflections Interactive	1
Shadowrun (Japan)	Shadowrun	1993	Role Playing Game	Group SNE	1
Sherlock Holmes - Consulting Detective (USA)	Sherlock Holmes : Consulting Detective Vol. I	1992	Adventure/Puzzle	ICOM Simulations	1
Sherlock Holmes - Consulting Detective - Vol. II (USA) (Disc 1)	Sherlock Holmes: Consulting Detective Vol. II	1993	Adventure/Puzzle	ICOM Simulations	1
Shin Megami Tensei (Japan)	Shin Megami Tensei	1994	Role Playing Game	Sims	1
Shining Force CD (USA) (3R)	Shining Force CD	1995	Tactical RPG/Role Playing Game	Sonic! Software Planning	1
Silpheed (USA)	Silpheed	1993	Shoot'em Up	Game Arts	1
SimEarth (Japan)	Simearth	1993	Build And Management/Simulation	Game Arts	1
Sing!! Sega Game Music Presented by B. B. Queens (Japan)	Sing!! Sega Game Music Presented By B. B. Queens	1992		B.B.Queens	1
Slam City with Scottie Pippen (USA) (Disc 1) (Fingers)	Slam City with Scottie Pippen	1995	Sports	Digital Pictures	1
Smurfs, The (Europe) (En,Fr,De,Es,It)	The Smurfs	1995	Platform	Virtual Studio	1
Snatcher (USA)	Snatcher	1994	Adventure	Konami	1
Software Toolworks' Star Wars Chess, The (USA)	The Software Toolworks' Star Wars Chess	1994	Puzzle/Board game	The Software Toolworks	1-2
Sol-Feace (USA) (RE)	Sol-Feace	1991	Shoot'em Up / Horizontal/Shoot'em Up	Wolf Team	1
