#key	name	year	genre	developer	players
Chaos Engine 2, The (Europe) (Proto)	The Chaos Engine 2		Shooter	The Bitmap Brothers	2
Chase H.Q. II (USA)	Chase H.Q. II	1993	Racing, Driving	Taito	1
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe) (En,Fr,De,Es)	Cheese Cat-Astrophe Starring Speedy Gonzales	1995	Platform	SEGA	1
Chessmaster, The (USA) (Sega Channel)	The Chessmaster	1996	Board game	Mindscape	1-2
Chester Cheetah - Too Cool to Fool (USA)	Chester Cheetah : Too Cool to Fool	1993	Platform	Kaneko	1
Chester Cheetah - Wild Wild Quest (USA)	Chester Cheetah : Wild Wild Quest	1994	Platform	Kaneko	1
Chi Chi's Pro Challenge Golf (USA)	Chi Chi's Pro Challenge Golf	1993	Sports / Golf/Sports	Virgin	1-4
Chibi Maruko-chan - Wakuwaku Shopping (Japan)	Chibi Maruko-chan : Wakuwaku Shopping	1992	Strategy	Namco	1-4
Chiki Chiki Boys (USA, Europe)	Chiki Chiki Boys	1993	Platform / Fighter Scrolling/Platform	Capcom	1
Chou Kyuukai Miracle Nine (Japan)	Chou Kyuukai Miracle Nine	1995	Sports / Baseball/Sports	SEGA	1
Chuck Rock (USA)	Chuck Rock	1991	Platform	Virgin	1
Chuck Rock II - Son of Chuck (USA)	Chuck Rock II : Son of Chuck	1993	Platform	Core Design	1
Classic Collection (Europe)	Classic Collection	1994	Compilation	SEGA	1-2
ClayFighter (USA)	Clay Fighter	1994	Fighting	Visual Concepts	1-2
Cliffhanger (USA)	Cliffhanger	1993	Beat'em Up	Malibu Games	1
Clue (USA)	Clue	1992	Strategy	Parker Brothers	1-6
Coach K College Basketball (USA)	Coach K College Basketball	1995	Sports / Basketball/Sports	Electronic Arts	1-4
College Football USA 96 (USA)	College Football USA 96	1995	Sports / Football (American)/Sports	High Score Productions	1-4
College Football USA 97 (USA)	College Football USA 97	1996	Sports/Sports / Football (American)	High Score Productions	1-4
College Football's National Championship (USA)	College Football's National Championship	1994	Sports/Sports / Football (American)	BlueSky Software	1-4
College Football's National Championship II (USA)	College Football's National Championship II	1995	Sports / Football (American)/Sports	BlueSky Software	1-4
College Slam (USA)	College Slam	1996	Sports / Basketball/Sports	Iguana Entertainment	1-4
Columns (World) (Sega Ages)	Columns	1990	Puzzle / Fall/Puzzle	SEGA	1-2
Columns III (USA)	Columns III	1993	Puzzle / Fall/Puzzle	Vic Tokai Corporation	1-5
Combat Aces (USA) (Proto)	Combat Aces		Racing, Driving / Plane/Racing, Driving	Chuck Peavey	1-2
Combat Cars (USA, Europe)	Combat Cars	1994	Racing, Driving/Racing, Driving	Accolade	1-2
Comix Zone (USA)	Comix Zone	1995	Beat'em Up	SEGA	1
Congo - The Game (USA) (Proto)	Congo	1994	Platform	Visual Concepts	1
Contra - Hard Corps (USA, Korea) (En)	Contra : Hard Corps	1994	Shooter / Run and Gun/Shooter	Konami	1-2
Cool Spot (USA)	Cool Spot	1994	Platform	Virgin Interactive	1
Cosmic Spacehead (USA, Europe) (En,Fr,De,Es)	Cosmic Spacehead	1993	Platform	Codemasters	1
Crack Down (USA)	Crack Down	1991	Shooter / TPV/Shooter	SEGA	1-2
Crayon Shin-chan - Arashi o Yobu Enji (Japan)	Crayon Shin-chan : Arashi o Yobu Enji	1994	Platform	Ma-Ba	1-2
CrossFire (USA)	Cross Fire	1991	Shoot'em Up / Vertical/Shoot'em Up	Kyugo Boueki	1
Crue Ball - Heavy Metal Pinball (USA, Europe)	Crüe Ball : Heavy Metal Pinball	1991	Pinball	NuFX	1-4
Crusader of Centy (USA)	Crusader of Centy	1994	Role Playing Game	SEGA	1
Crystal's Pony Tale (USA)	Crystal's Pony Tale	1994	Platform/Adventure	Artech Studios	1
Curse (Japan) (En)	Curse	1989	Shoot'em Up / Horizontal/Shoot'em Up	Micronet	1
Cutie Suzuki no Ringside Angel (Japan)	Cutie Suzuki no Ringside Angel	1990	Sports / Fighting/Sports	Copya System	1-2
CutThroat Island (USA, Europe)	Cutthroat Island	1995	Beat'em Up	Software Creations	1-2
Cyber Police - ESWAT (Japan) (En)	ESWAT : City Under Siege	1990	Platform	SEGA	1
Cyber-Cop (USA)	Cyber-Cop	1992	Shooter / FPV/Shooter	Core Design	1
Cyberball (World)	Cyberball	1990	Sports / Football (American)/Sports	Atari	1-2
Cyborg Justice (USA, Europe)	Cyborg Justice	1993	Beat'em Up	Novotrade	1-2
Daffy Duck in Hollywood (Europe) (En,Fr,De,Es,It)	Daffy Duck in Hollywood	1994	Platform	SEGA	1
Dahna - Megami Tanjou (Japan)	Dahna : Megami Tanjou	1991	Beat'em Up	Information Global Service	1
Dangerous Seed (Japan) (En)	Dangerous Seed	1990	Shoot'em Up / Vertical/Shoot'em Up	Namco	1
Danny Sullivan's Indy Heat (USA) (Proto)	Danny Sullivan's Indy Heat	1993	Racing, Driving	Leland	1-2
Darius (World) (Mega Drive Mini, Genesis Mini)	Darius	2019	Shoot'em Up/Shoot'em Up / Horizontal	Taito	1
